coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
cardano,Cardano,ADA,11,,native,https://cardano.org/,"Smart Contract Platform, Layer 1 (L1), Cardano Ecosystem, Alleged SEC Securities, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",36448472341.51,45000000000.0,45000000000.0
wrapped-steth,Wrapped stETH,WSTETH,12,ethereum,ethereum,https://lido.fi/,"Crypto-Backed Tokens, Decentralized Finance (DeFi), Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking, Unichain Ecosystem",3185303.408753869,3185387.899630782,
hyperliquid,Hyperliquid,HYPE,13,hyperliquid,hyperliquid,https://hyperliquid.xyz/,"Decentralized Exchange (DEX), Smart Contract Platform, Decentralized Finance (DeFi), Perpetuals, Layer 1 (L1), Proof of Stake (PoS), Hyperliquid Ecosystem",333772999.4341414,999835210.4341414,1000000000.0
wrapped-bitcoin,Wrapped Bitcoin,WBTC,14,ethereum,ethereum,https://www.wbtc.network/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Ethereum Ecosystem, FTX Holdings, Osmosis Ecosystem, World Liberty Financial Portfolio",127037.57872278,127037.57872278,127037.57872278
chainlink,Chainlink,LINK,15,ethereum,ethereum,https://chain.link/,"Business Services, Infrastructure, Decentralized Finance (DeFi), Oracle, BNB Chain Ecosystem, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Real World Assets (RWA), Base Ecosystem, Osmosis Ecosystem, Cross-chain Communication, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, Milkomeda (Cardano) Ecosystem, GMCI DeFi Index, GMCI 30 Index, RWA Protocol, GMCI Index, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index, Chain Abstraction, Hydration Ecosystem",678099970.4527868,1000000000.0,1000000000.0
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,16,ethereum,ethereum,https://www.binance.com/en/wbeth,"Crypto-Backed Tokens, BNB Chain Ecosystem, Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking",2964154.335139822,2964154.335139822,
stellar,Stellar,XLM,17,,native,https://www.stellar.org/,"Smart Contract Platform, Real World Assets (RWA), Stellar Ecosystem, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",31302864540.15276,50001786889.0645,50001786889.0645
sui,Sui,SUI,18,sui,sui,https://sui.io/,"Smart Contract Platform, Binance Launchpool, Layer 1 (L1), Sui Ecosystem, Coinbase Ventures Portfolio, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",3511924479.569998,10000000000.0,10000000000.0
wrapped-eeth,Wrapped eETH,WEETH,19,ethereum,ethereum,https://www.ether.fi/,"Crypto-Backed Tokens, Wrapped-Tokens, Arbitrum Ecosystem, Ethereum Ecosystem, Restaking, Liquid Restaking Tokens, Ether.fi Ecosystem",2596372.118950735,2596372.147514551,
bitcoin-cash,Bitcoin Cash,BCH,20,,native,https://bch.info/,"Smart Contract Platform, Layer 1 (L1), Bitcoin Fork, Proof of Work (PoW), Coinbase 50 Index",19912112.39665078,19912153.02165078,21000000.0
ethena-usde,Ethena USDe,USDE,21,ethereum,ethereum,https://app.ethena.fi/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, TON Ecosystem, Hyperliquid Ecosystem, Fiat-backed Stablecoin, Zircuit Ecosystem, Synthetic Dollar",11283712718.23666,11283712718.23666,
hedera-hashgraph,Hedera,HBAR,22,,native,https://www.hedera.com/,"Smart Contract Platform, Layer 1 (L1), Hedera Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Made in USA, Directed Acyclic Graph (DAG)",42392927394.52556,50000000000.0,50000000000.0
avalanche-2,Avalanche,AVAX,23,,native,https://www.avax.network,"Smart Contract Platform, Layer 1 (L1), Avalanche Ecosystem, Proof of Stake (PoS), DragonFly Capital Portfolio, DeFiance Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Galaxy Digital Portfolio, GMCI Index, Polychain Capital Portfolio, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index",422276596.0335201,458078999.632708,720000000.0
weth,WETH,WETH,24,ethereum,ethereum,https://ethereum.org/en/wrapped-eth,"Crypto-Backed Tokens, Wrapped-Tokens, Ethereum Ecosystem, FTX Holdings, Tron Ecosystem, Index Coop Defi Index",2250396.001111707,2251702.589911643,
litecoin,Litecoin,LTC,25,,native,http://litecoin.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",76189114.48347135,76191939.48347135,84000000.0
the-open-network,Toncoin,TON,26,the-open-network,the-open-network,https://ton.org/,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Animoca Brands Portfolio, Alleged SEC Securities, DWF Labs Portfolio, TON Ecosystem, Proof of Stake (PoS), Pantera Capital Portfolio, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",2566479479.498899,5138007539.926939,
leo-token,LEO Token,LEO,27,ethereum,ethereum,https://www.bitfinex.com/,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem",923042099.9,985239504.0,
usds,USDS,USDS,28,ethereum,ethereum,https://sky.money/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin",7914211807.796403,7915140201.884088,
shiba-inu,Shiba Inu,SHIB,29,ethereum,ethereum,https://shibatoken.com/,"Meme, Ethereum Ecosystem, Animoca Brands Portfolio, Dog-Themed, GMCI Meme Index, GMCI 30 Index, GMCI Index, Coinbase 50 Index",589246023751798.6,589500979134055.5,
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,30,binance-smart-chain,binance-smart-chain,https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Bridged USDT, Bridged-Tokens, Bridged Stablecoin",6784993599.453935,6784993599.453935,
uniswap,Uniswap,UNI,31,ethereum,ethereum,https://uniswap.org/,"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), BNB Chain Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Paradigm Portfolio, Coinbase Ventures Portfolio, Index Coop Defi Index, Andreessen Horowitz (a16z) Portfolio, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Made in USA, Unichain Ecosystem, Coinbase 50 Index",600483073.71,1000000000.0,1000000000.0
whitebit,WhiteBIT Coin,WBT,32,ethereum,ethereum,https://whitebit.com/wbt,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Tron Ecosystem",144118517.10815412,322828595.0,400000000.0
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,33,ethereum,ethereum,https://www.coinbase.com/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem",52856.30599742,52882.52584474,
polkadot,Polkadot,DOT,34,,native,https://polkadot.com/,"Smart Contract Platform, Polkadot Ecosystem, Proof of Stake (PoS), Layer 0 (L0), Pantera Capital Portfolio, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",1522267060.0,1522267060.0,
ethena-staked-usde,Ethena Staked USDe,SUSDE,35,ethereum,ethereum,https://app.ethena.fi/,"Liquid Staking Tokens, Ethereum Ecosystem, Yield-Bearing Stablecoin",4658276303.683103,4658596610.034351,
bitget-token,Bitget Token,BGB,36,ethereum,ethereum,https://partner.bitget.com/bg/2LAE9K,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, DragonFly Capital Portfolio, Morph L2 Ecosystem",1139992035.9787908,1139992035.9787908,2000000000.0
crypto-com-chain,Cronos,CRO,37,ethereum,ethereum,https://cronos-pos.org/,"Smart Contract Platform, Exchange-based Tokens, Centralized Exchange (CEX) Token, Layer 1 (L1), Ethereum Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",32392454950.5412,97925806436.87538,100000000000.0
ethena,Ethena,ENA,38,ethereum,ethereum,https://www.ethena.fi/,"Decentralized Finance (DeFi), Binance Launchpool, Ethereum Ecosystem, Base Ecosystem, Stablecoin Protocol, DragonFly Capital Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, Delphi Ventures Portfolio, OKX Ventures Portfolio, World Liberty Financial Portfolio",6621875000.0,15000000000.0,
pepe,Pepe,PEPE,39,ethereum,ethereum,https://www.pepe.vip/,"BNB Chain Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Frog-Themed, GMCI Meme Index, GMCI Index, The Boy’s Club, 4chan-Themed",420690000000000.0,420690000000000.0,420690000000000.0
aave,Aave,AAVE,41,ethereum,ethereum,https://app.aave.com/,"Decentralized Finance (DeFi), Yield Farming, BNB Chain Ecosystem, Lending/Borrowing Protocols, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Index Coop Defi Index, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, Blockchain Capital Portfolio, GMCI Index, World Liberty Financial Portfolio, Coinbase 50 Index, Hydration Ecosystem",15212914.939865785,16000000.0,16000000.0
monero,Monero,XMR,40,,native,https://getmonero.org,"Smart Contract Platform, Privacy, Layer 1 (L1), Proof of Work (PoW), Galaxy Digital Portfolio",18446744.07370955,18446744.07370955,
mantle,Mantle,MNT,42,ethereum,ethereum,https://group.mantle.xyz/,"Smart Contract Platform, Ethereum Ecosystem, Layer 2 (L2), Mantle Ecosystem, DWF Labs Portfolio, DragonFly Capital Portfolio, GMCI Layer 2 Index, GMCI 30 Index, GMCI Index, World Liberty Financial Portfolio",3365794382.836841,6219316794.99,6219316794.99
dai,Dai,DAI,43,ethereum,ethereum,https://makerdao.com/,"Stablecoins, Decentralized Finance (DeFi), USD Stablecoin, Ethereum Ecosystem, Crypto-backed Stablecoin, Fiat-backed Stablecoin",4045816083.927928,4046703077.602752,
bittensor,Bittensor,TAO,44,,native,https://bittensor.com/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), DePIN, Bittensor Ecosystem, Polychain Capital Portfolio",9597491.0,21000000.0,21000000.0
ethereum-classic,Ethereum Classic,ETC,45,,native,http://ethereumclassic.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), Coinbase 50 Index",153134761.213162,153134761.213162,210700000.0
near,NEAR Protocol,NEAR,46,,native,https://near.org/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), Near Protocol Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, FTX Holdings, Data Availability, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, DragonFly Capital Portfolio, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA, Coinbase 50 Index, Chain Abstraction",1247469877.0,1265931443.0,
aptos,Aptos,APT,47,aptos,aptos,https://aptosfoundation.org,"Smart Contract Platform, Layer 1 (L1), Aptos Ecosystem, FTX Holdings, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), DragonFly Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",684848059.9769206,1170315442.435602,
ondo-finance,Ondo,ONDO,48,ethereum,ethereum,https://ondo.finance/,"Decentralized Finance (DeFi), Ethereum Ecosystem, Real World Assets (RWA), Coinbase Ventures Portfolio, Pantera Capital Portfolio, GMCI DeFi Index, RWA Protocol, GMCI Index, World Liberty Financial Portfolio, Binance Alpha Spotlight, Made in USA",3159107529.0,10000000000.0,10000000000.0
pi-network,Pi Network,PI,49,,native,https://minepi.com/,"Layer 1 (L1), Made in USA, Mobile Mining",7841177066.506478,12063349333.08689,100000000000.0
internet-computer,Internet Computer,ICP,50,internet-computer,internet-computer,https://internetcomputer.org/,"Artificial Intelligence (AI), Infrastructure, Smart Contract Platform, Layer 1 (L1), Internet Computer Ecosystem, Alleged SEC Securities, Multicoin Capital Portfolio, Layer 0 (L0), Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Coinbase 50 Index",536872676.8361208,536872676.8361208,
jito-staked-sol,Jito Staked SOL,JITOSOL,51,solana,solana,https://www.jito.network/,"Solana Ecosystem, Liquid Staking Tokens, Neon Ecosystem, Liquid Staked SOL, Liquid Staking",12417604.2575921,12417604.2575921,
binance-peg-weth,Binance-Peg WETH,WETH,52,binance-smart-chain,binance-smart-chain,https://www.bnbchain.org/en,"BNB Chain Ecosystem, Binance-Peg Tokens",604999.9999588211,604999.9999588211,
arbitrum,Arbitrum,ARB,53,arbitrum-one,arbitrum-one,https://arbitrum.io/,"Smart Contract Platform, Arbitrum Ecosystem, Ethereum Ecosystem, Arbitrum Nova Ecosystem, Layer 2 (L2), eGirl Capital Portfolio, Rollup, Alameda Research Portfolio, Pantera Capital Portfolio, GMCI Layer 2 Index, GMCI 30 Index, GMCI Index, Polychain Capital Portfolio, Made in USA",5150239630.0,10000000000.0,10000000000.0
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,54,ethereum,ethereum,https://www.blackrock.com/corporate,"Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Aptos Ecosystem, Real World Assets (RWA)",2388613824.973854,2388613824.973854,
kaspa,Kaspa,KAS,55,,native,https://kaspa.org/,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), Kaspa Ecosystem, Made in USA, Directed Acyclic Graph (DAG)",26363807936.34678,26582819142.34222,28704026601.0
algorand,Algorand,ALGO,57,,native,https://algorand.foundation/,"Smart Contract Platform, Layer 1 (L1), Algorand Ecosystem, Real World Assets (RWA), Alleged SEC Securities, DWF Labs Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",8711177029.868486,8711321497.584465,10000000000.0
usd1-wlfi,USD1,USD1,57,binance-smart-chain,binance-smart-chain,https://www.worldlibertyfinancial.com/,"Stablecoins, USD Stablecoin, Ethereum Ecosystem, Tron Ecosystem, World Liberty Financial Portfolio",2209287372.358119,2209287372.358119,
okb,OKB,OKB,58,ethereum,ethereum,https://www.okx.com/okb,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem, OKT Chain Ecosystem, GMCI 30 Index, GMCI Index, Made in China",21000000.0,21000000.0,300000000.0
polygon-ecosystem-token,POL (ex-MATIC),POL,59,ethereum,ethereum,https://polygon.technology/,"Smart Contract Platform, Polygon Ecosystem, Ethereum Ecosystem, Layer 2 (L2)",9082757800.785252,10481543944.63688,
gatechain-token,Gate,GT,61,ethereum,ethereum,https://gatechain.io/,"Smart Contract Platform, Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Proof of Stake (PoS)",119444887.81900902,300000000.0,
vechain,VeChain,VET,60,vechain,vechain,https://www.vechain.org,"Internet of Things (IOT), Smart Contract Platform, Layer 1 (L1), VeChain Ecosystem, Made in China",85985041177.0,85985041177.0,86712634466.0
cosmos,Cosmos Hub,ATOM,62,cosmos,cosmos,http://cosmos.network/,"Smart Contract Platform, BNB Chain Ecosystem, Cosmos Ecosystem, Canto Ecosystem, Alleged SEC Securities, Osmosis Ecosystem, Paradigm Portfolio, Proof of Stake (PoS), Kava Ecosystem, Layer 0 (L0), DragonFly Capital Portfolio, Pantera Capital Portfolio, Archway Ecosystem, Evmos Ecosystem, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Polychain Capital Portfolio, Mantra Ecosystem, Coinbase 50 Index",463851642.443575,463851642.443575,
pudgy-penguins,Pudgy Penguins,PENGU,63,solana,solana,https://pudgypenguins.com,"Solana Ecosystem, Meme, Solana Meme, Binance HODLer Airdrops, Airdropped Tokens by NFT Projects, Abstract Ecosystem, Made in USA",62860396090.0,79489164416.794,88888888888.0
rocket-pool-eth,Rocket Pool ETH,RETH,64,ethereum,ethereum,https://rocketpool.net/,"Polygon Ecosystem, Arbitrum Ecosystem, Liquid Staking Tokens, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Ronin Ecosystem, Liquid Staked ETH, Liquid Staking",407016.846526201,407016.846526201,
render-token,Render,RENDER,65,ethereum,ethereum,http://renderfoundation.com,"Artificial Intelligence (AI), NFT, Metaverse, Solana Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, DePIN, Multicoin Capital Portfolio, Alameda Research Portfolio, GMCI DePIN Index, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",518128769.0562826,532888942.3362826,644245094.0
fasttoken,Fasttoken,FTN,66,ethereum,ethereum,https://bahamut.io/,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem, Bahamut Ecosystem",431577645.0,870742437.0,1000000000.0
binance-staked-sol,Binance Staked SOL,BNSOL,68,solana,solana,https://www.binance.com/en/solana-staking,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking",9712505.494375896,9712505.494375896,
susds,sUSDS,SUSDS,67,ethereum,ethereum,https://sky.money/,"Arbitrum Ecosystem, Ethereum Ecosystem, Yield-Bearing Stablecoin",1822277882.469767,1822277882.469767,
sei-network,Sei,SEI,69,,native,https://www.sei.io,"Smart Contract Platform, Decentralized Finance (DeFi), Layer 1 (L1), Parallelized EVM, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, GMCI Layer 1 Index, Delphi Ventures Portfolio, Circle Ventures Portfolio, OKX Ventures Portfolio, GMCI Index, Sei Network Ecosystem, World Liberty Financial Portfolio, Made in USA",6006666666.0,10000000000.0,
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,RSETH,70,ethereum,ethereum,https://kelpdao.xyz/restake/,"Liquid Staking Tokens, Ethereum Ecosystem, Restaking, Liquid Restaking Tokens, Liquid Staked ETH, Liquid Staking",409423.3340792125,409423.3340792125,
bonk,Bonk,BONK,71,solana,solana,https://www.bonkcoin.com/,"BNB Chain Ecosystem, Solana Ecosystem, Polygon Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, Dog-Themed, Solana Meme, Neon Ecosystem, GMCI Meme Index, GMCI Index, Made in USA, Coinbase 50 Index, 4chan-Themed",77419592329436.58,87995357269178.02,87995357269178.02
worldcoin-wld,Worldcoin,WLD,72,ethereum,ethereum,https://worldcoin.org/,"Smart Contract Platform, Ethereum Ecosystem, Decentralized Identifier (DID), Optimism Ecosystem, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, Blockchain Capital Portfolio, Optimism Superchain Ecosystem, World Chain Ecosystem, Made in USA",1881125215.314855,10000000000.0,10000000000.0
fetch-ai,Artificial Superintelligence Alliance,FET,74,ethereum,ethereum,https://www.superintelligence.io/,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Cardano Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio, AI Agent Launchpad",2604959126.672,2714493896.672,2714493896.672
official-trump,Official Trump,TRUMP,73,solana,solana,https://gettrumpmemes.com/,"Solana Ecosystem, Meme, Solana Meme, PolitiFi, Made in USA",199999973.092266,1000000000.0,1000000000.0
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,JLP,75,solana,solana,https://jup.ag/,"Decentralized Finance (DeFi), LP Tokens, Solana Ecosystem",343226448.723624,343226448.723624,
flare-networks,Flare,FLR,76,,native,https://flare.network/,"Smart Contract Platform, Layer 1 (L1), DWF Labs Portfolio",71734281589.99992,103812188166.7021,
story-2,Story,IP,77,,native,https://www.story.foundation/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), Made in USA, Story Ecosystem, IP",303194082.72,1011479752.45,
filecoin,Filecoin,FIL,78,,native,https://filecoin.io/,"Infrastructure, Smart Contract Platform, Storage, Layer 1 (L1), DePIN, Alleged SEC Securities, Pantera Capital Portfolio, GMCI DePIN Index, GMCI 30 Index, Sequoia Capital Portfolio, Blockchain Capital Portfolio, GMCI Index, Made in USA",683902747.0,1959135108.0,1959135108.0
stakewise-v3-oseth,StakeWise Staked ETH,OSETH,80,ethereum,ethereum,https://stakewise.io,"Decentralized Finance (DeFi), Arbitrum Ecosystem, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staked ETH, Liquid Staking",358880.6839472,358880.6839472,
kucoin-shares,KuCoin,KCS,79,,native,https://www.kucoin.com/ucenter/signup,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Circle Ventures Portfolio",127421933.7355671,142421933.7355671,
usdt0,USDT0,USDT0,81,ink,ink,https://usdt0.to/,"Arbitrum Ecosystem, Optimism Ecosystem, Berachain Ecosystem, Bridged USDT, Flare Network Ecosystem, Rootstock Ecosystem, Hyperliquid Ecosystem, Sei Network Ecosystem, Bridged-Tokens, Ink Ecosystem, Bridged Stablecoin, Unichain Ecosystem, HyperEVM Ecosystem, Corn Ecosystem",1621043544.289387,1621043544.289387,
liquid-staked-ethereum,Liquid Staked ETH,LSETH,82,ethereum,ethereum,https://liquidcollective.io/,"Liquid Staking Tokens, Ethereum Ecosystem, Base Ecosystem, Liquid Staked ETH, Liquid Staking",336112.0437952479,336112.0437952479,
quant-network,Quant,QNT,83,ethereum,ethereum,https://www.quant.network,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",14544176.164091088,14612493.0,14612493.0
sky,Sky,SKY,84,ethereum,ethereum,https://sky.money/,"Decentralized Finance (DeFi), Ethereum Ecosystem, Hydration Ecosystem",21225960057.25894,23462665147.36596,
lombard-staked-btc,Lombard Staked BTC,LBTC,85,ethereum,ethereum,https://www.lombard.finance/,"BNB Chain Ecosystem, Ethereum Ecosystem, Sui Ecosystem, Base Ecosystem, Restaking, Berachain Ecosystem, Liquid Restaking Tokens, Sonic Ecosystem, Etherlink Ecosystem, Swellchain Ecosystem, Corn Ecosystem, Liquid Staked BTC, Katana Ecosystem, TAC Ecosystem",13504.50458928003,13504.50458928003,
