coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
cardano,Cardano,ADA,11,,native,https://cardano.org/,"Smart Contract Platform, Layer 1 (L1), Cardano Ecosystem, Alleged SEC Securities, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",36187150377.9206,45000000000.0,45000000000.0
wrapped-steth,Wrapped stETH,WSTETH,12,ethereum,ethereum,https://lido.fi/,"Crypto-Backed Tokens, Decentralized Finance (DeFi), Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking, Unichain Ecosystem",3217293.459923643,3217293.459923643,
wrapped-bitcoin,Wrapped Bitcoin,WBTC,13,ethereum,ethereum,https://www.wbtc.network/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Ethereum Ecosystem, FTX Holdings, Osmosis Ecosystem, World Liberty Financial Portfolio",127050.57872278,127050.57872278,127050.57872278
chainlink,Chainlink,LINK,14,ethereum,ethereum,https://chain.link/,"Business Services, Infrastructure, Smart Contract Platform, Decentralized Finance (DeFi), Oracle, BNB Chain Ecosystem, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Real World Assets (RWA), Base Ecosystem, Osmosis Ecosystem, Cross-chain Communication, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, Milkomeda (Cardano) Ecosystem, GMCI DeFi Index, GMCI 30 Index, RWA Protocol, Liquid Staking, GMCI Index, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index, Chain Abstraction, Hydration Ecosystem",678099970.4527868,1000000000.0,1000000000.0
hyperliquid,Hyperliquid,HYPE,15,hyperliquid,hyperliquid,https://hyperliquid.xyz/,"Decentralized Exchange (DEX), Smart Contract Platform, Decentralized Finance (DeFi), Perpetuals, Layer 1 (L1), Proof of Stake (PoS), Hyperliquid Ecosystem",333772999.4341414,999835210.4341414,1000000000.0
stellar,Stellar,XLM,16,,native,https://www.stellar.org/,"Smart Contract Platform, Real World Assets (RWA), Stellar Ecosystem, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",31282830888.12515,50001786892.81653,50001786892.81653
sui,Sui,SUI,17,sui,sui,https://sui.io/,"Smart Contract Platform, Binance Launchpool, Layer 1 (L1), Sui Ecosystem, Coinbase Ventures Portfolio, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",3511924479.569998,10000000000.0,10000000000.0
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,18,ethereum,ethereum,https://www.binance.com/en/wbeth,"Crypto-Backed Tokens, BNB Chain Ecosystem, Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking",2964153.741019316,2964153.741019316,
wrapped-eeth,Wrapped eETH,WEETH,19,ethereum,ethereum,https://www.ether.fi/,"Crypto-Backed Tokens, Wrapped-Tokens, Arbitrum Ecosystem, Ethereum Ecosystem, Restaking, Liquid Restaking Tokens, Ether.fi Ecosystem",2623742.401370154,2623742.401370154,
bitcoin-cash,Bitcoin Cash,BCH,20,,native,https://bch.info/,"Smart Contract Platform, Layer 1 (L1), Bitcoin Fork, Proof of Work (PoW), Coinbase 50 Index",19909421.77165078,19909421.77165078,21000000.0
hedera-hashgraph,Hedera,HBAR,21,,native,https://www.hedera.com/,"Smart Contract Platform, Layer 1 (L1), Hedera Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Made in USA, Directed Acyclic Graph (DAG)",42392675915.81304,50000000000.0,50000000000.0
ethena-usde,Ethena USDe,USDE,22,ethereum,ethereum,https://app.ethena.fi/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, TON Ecosystem, Hyperliquid Ecosystem, Fiat-backed Stablecoin, Zircuit Ecosystem, Synthetic Dollar",10148454887.70629,10148454887.70629,
weth,WETH,WETH,24,ethereum,ethereum,https://ethereum.org/en/wrapped-eth,"Crypto-Backed Tokens, Wrapped-Tokens, Ethereum Ecosystem, FTX Holdings, Tron Ecosystem, Index Coop Defi Index",2375312.066845094,2375312.066845094,
avalanche-2,Avalanche,AVAX,23,,native,https://www.avax.network,"Smart Contract Platform, Layer 1 (L1), Avalanche Ecosystem, Proof of Stake (PoS), DragonFly Capital Portfolio, DeFiance Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Galaxy Digital Portfolio, GMCI Index, Polychain Capital Portfolio, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index",422276596.0335201,458078999.632708,720000000.0
litecoin,Litecoin,LTC,25,,native,http://litecoin.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",76170533.23347135,76170995.73347135,84000000.0
the-open-network,Toncoin,TON,26,the-open-network,the-open-network,https://ton.org/,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Animoca Brands Portfolio, Alleged SEC Securities, DWF Labs Portfolio, TON Ecosystem, Proof of Stake (PoS), Pantera Capital Portfolio, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",2565981327.497831,5137502827.08787,
leo-token,LEO Token,LEO,27,ethereum,ethereum,https://www.bitfinex.com/,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem",923042099.9,985239504.0,
usds,USDS,USDS,28,ethereum,ethereum,https://sky.money/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin",8044031141.110059,8044031141.110059,
shiba-inu,Shiba Inu,SHIB,29,ethereum,ethereum,https://shibatoken.com/,"Meme, Ethereum Ecosystem, Animoca Brands Portfolio, Dog-Themed, GMCI Meme Index, GMCI 30 Index, GMCI Index, Coinbase 50 Index",589246125651509.9,589500981948571.5,
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,30,binance-smart-chain,binance-smart-chain,https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Bridged USDT, Bridged-Tokens, Bridged Stablecoin",6784993599.453935,6784993599.453935,
whitebit,WhiteBIT Coin,WBT,31,ethereum,ethereum,https://whitebit.com/wbt,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Tron Ecosystem",144118517.10815412,322977662.0,400000000.0
uniswap,Uniswap,UNI,32,ethereum,ethereum,https://uniswap.org/,"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), BNB Chain Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Paradigm Portfolio, Coinbase Ventures Portfolio, Index Coop Defi Index, Andreessen Horowitz (a16z) Portfolio, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Made in USA, Unichain Ecosystem, Coinbase 50 Index",600483073.71,1000000000.0,1000000000.0
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,33,ethereum,ethereum,https://www.coinbase.com/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem",53485.22137755,53485.22137755,
polkadot,Polkadot,DOT,34,,native,https://polkadot.com/,"Smart Contract Platform, Polkadot Ecosystem, Proof of Stake (PoS), Layer 0 (L0), Pantera Capital Portfolio, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",1522267060.0,1522267060.0,
crypto-com-chain,Cronos,CRO,35,ethereum,ethereum,https://cronos-pos.org/,"Smart Contract Platform, Exchange-based Tokens, Centralized Exchange (CEX) Token, Layer 1 (L1), Ethereum Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",32377268874.00932,97910544499.07587,100000000000.0
ethena-staked-usde,Ethena Staked USDe,SUSDE,36,ethereum,ethereum,https://app.ethena.fi/,"Liquid Staking Tokens, Ethereum Ecosystem, Yield-Bearing Stablecoin",4314410649.842961,4314410649.842961,
bitget-token,Bitget Token,BGB,38,ethereum,ethereum,https://partner.bitget.com/bg/2LAE9K,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, DragonFly Capital Portfolio, Morph L2 Ecosystem",1139992035.9787908,1139992035.9787908,2000000000.0
pepe,Pepe,PEPE,37,ethereum,ethereum,https://www.pepe.vip/,"BNB Chain Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Frog-Themed, GMCI Meme Index, GMCI Index, The Boy’s Club, 4chan-Themed",420690000000000.0,420690000000000.0,420690000000000.0
ethena,Ethena,ENA,39,ethereum,ethereum,https://www.ethena.fi/,"Decentralized Finance (DeFi), Binance Launchpool, Ethereum Ecosystem, Stablecoin Protocol, DragonFly Capital Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, Delphi Ventures Portfolio, OKX Ventures Portfolio, World Liberty Financial Portfolio",6621875000.0,15000000000.0,
monero,Monero,XMR,40,,native,https://getmonero.org,"Smart Contract Platform, Privacy, Layer 1 (L1), Proof of Work (PoW), Galaxy Digital Portfolio",18446744.07370955,18446744.07370955,
aave,Aave,AAVE,41,ethereum,ethereum,https://app.aave.com/,"Decentralized Finance (DeFi), Yield Farming, BNB Chain Ecosystem, Lending/Borrowing Protocols, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Index Coop Defi Index, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, Blockchain Capital Portfolio, GMCI Index, World Liberty Financial Portfolio, Coinbase 50 Index, Hydration Ecosystem",15211005.164390868,16000000.0,16000000.0
dai,Dai,DAI,42,ethereum,ethereum,https://makerdao.com/,"Stablecoins, Decentralized Finance (DeFi), USD Stablecoin, Ethereum Ecosystem, Crypto-backed Stablecoin, Fiat-backed Stablecoin",3813424280.42049,3813424280.42049,
bittensor,Bittensor,TAO,43,,native,https://bittensor.com/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), DePIN, Bittensor Ecosystem, Polychain Capital Portfolio",9597491.0,21000000.0,21000000.0
ethereum-classic,Ethereum Classic,ETC,44,,native,http://ethereumclassic.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), Coinbase 50 Index",153057719.6562723,153057719.6562723,210700000.0
mantle,Mantle,MNT,45,ethereum,ethereum,https://group.mantle.xyz/,"Smart Contract Platform, Ethereum Ecosystem, Layer 2 (L2), Mantle Ecosystem, DWF Labs Portfolio, DragonFly Capital Portfolio, GMCI Layer 2 Index, GMCI 30 Index, GMCI Index, World Liberty Financial Portfolio",3365794382.836841,6219316794.99,6219316794.99
near,NEAR Protocol,NEAR,46,,native,https://near.org/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), Near Protocol Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, FTX Holdings, Data Availability, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, DragonFly Capital Portfolio, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA, Coinbase 50 Index, Chain Abstraction",1242041254.0,1264892050.0,
ondo-finance,Ondo,ONDO,47,ethereum,ethereum,https://ondo.finance/,"Decentralized Finance (DeFi), Ethereum Ecosystem, Real World Assets (RWA), Coinbase Ventures Portfolio, Pantera Capital Portfolio, GMCI DeFi Index, RWA Protocol, GMCI Index, World Liberty Financial Portfolio, Binance Alpha Spotlight, Made in USA",3159107529.0,10000000000.0,10000000000.0
pi-network,Pi Network,PI,48,,native,https://minepi.com/,"Layer 1 (L1), Made in USA, Mobile Mining",7814570948.073371,12022286163.33666,100000000000.0
aptos,Aptos,APT,49,aptos,aptos,https://aptosfoundation.org,"Smart Contract Platform, Layer 1 (L1), Aptos Ecosystem, FTX Holdings, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), DragonFly Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",672601482.8582404,1169365392.837107,
internet-computer,Internet Computer,ICP,50,internet-computer,internet-computer,https://internetcomputer.org/,"Artificial Intelligence (AI), Infrastructure, Smart Contract Platform, Layer 1 (L1), Internet Computer Ecosystem, Alleged SEC Securities, Multicoin Capital Portfolio, Layer 0 (L0), Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Coinbase 50 Index",536302713.3046729,536302872.4229099,
okb,OKB,OKB,51,ethereum,ethereum,https://www.okx.com/okb,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem, OKT Chain Ecosystem, GMCI 30 Index, GMCI Index, Made in China",60000000.0,235957685.3,300000000.0
jito-staked-sol,Jito Staked SOL,JITOSOL,52,solana,solana,https://www.jito.network/,"Solana Ecosystem, Liquid Staking Tokens, Neon Ecosystem, Liquid Staked SOL, Liquid Staking",12387250.83111202,12387250.83111202,
binance-peg-weth,Binance-Peg WETH,WETH,53,binance-smart-chain,binance-smart-chain,https://www.bnbchain.org/en,"BNB Chain Ecosystem, Binance-Peg Tokens",604999.999959841,604999.999959841,
kaspa,Kaspa,KAS,54,,native,https://kaspa.org/,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), Kaspa Ecosystem, Made in USA, Directed Acyclic Graph (DAG)",26363807936.34678,26559000862.34705,28704026601.0
pudgy-penguins,Pudgy Penguins,PENGU,55,solana,solana,https://pudgypenguins.com,"Solana Ecosystem, Meme, Solana Meme, Binance HODLer Airdrops, Airdropped Tokens by NFT Projects, Abstract Ecosystem, Made in USA",62860396090.0,79320599288.24306,88888888888.0
arbitrum,Arbitrum,ARB,56,arbitrum-one,arbitrum-one,https://arbitrum.io/,"Smart Contract Platform, Arbitrum Ecosystem, Ethereum Ecosystem, Arbitrum Nova Ecosystem, Layer 2 (L2), eGirl Capital Portfolio, Rollup, Alameda Research Portfolio, Pantera Capital Portfolio, GMCI Layer 2 Index, GMCI 30 Index, GMCI Index, Polychain Capital Portfolio, Made in USA",5150239630.0,10000000000.0,10000000000.0
algorand,Algorand,ALGO,57,,native,https://algorand.foundation/,"Smart Contract Platform, Layer 1 (L1), Algorand Ecosystem, Real World Assets (RWA), Alleged SEC Securities, DWF Labs Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",8702481619.647718,8702665057.74021,10000000000.0
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,58,ethereum,ethereum,https://www.blackrock.com/corporate,"Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Aptos Ecosystem, Real World Assets (RWA)",2286838491.393854,2286838491.393854,
usd1-wlfi,USD1,USD1,59,binance-smart-chain,binance-smart-chain,https://www.worldlibertyfinancial.com/,"Stablecoins, USD Stablecoin, Ethereum Ecosystem, Tron Ecosystem, World Liberty Financial Portfolio",2204288423.434669,2204288423.434669,
polygon-ecosystem-token,POL (ex-MATIC),POL,60,ethereum,ethereum,https://polygon.technology/,"Smart Contract Platform, Polygon Ecosystem, Ethereum Ecosystem, Layer 2 (L2)",9048558490.784525,10481543944.63688,
vechain,VeChain,VET,61,vechain,vechain,https://www.vechain.org,"Internet of Things (IOT), Smart Contract Platform, Layer 1 (L1), VeChain Ecosystem, Made in China",85985041177.0,85985041177.0,86712634466.0
cosmos,Cosmos Hub,ATOM,62,cosmos,cosmos,http://cosmos.network/,"Smart Contract Platform, BNB Chain Ecosystem, Cosmos Ecosystem, Canto Ecosystem, Alleged SEC Securities, Osmosis Ecosystem, Paradigm Portfolio, Proof of Stake (PoS), Kava Ecosystem, Layer 0 (L0), DragonFly Capital Portfolio, Pantera Capital Portfolio, Archway Ecosystem, Evmos Ecosystem, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Polychain Capital Portfolio, Mantra Ecosystem, Coinbase 50 Index",462922128.071281,462922128.071281,
bonk,Bonk,BONK,63,solana,solana,https://www.bonkcoin.com/,"BNB Chain Ecosystem, Solana Ecosystem, Polygon Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, Dog-Themed, Solana Meme, Neon Ecosystem, GMCI Meme Index, GMCI Index, Made in USA, Coinbase 50 Index, 4chan-Themed",77419592329436.58,87995365285278.42,87995365285278.42
gatechain-token,Gate,GT,64,ethereum,ethereum,https://gatechain.io/,"Smart Contract Platform, Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Proof of Stake (PoS)",119444887.81900902,300000000.0,
render-token,Render,RENDER,65,ethereum,ethereum,http://renderfoundation.com,"Artificial Intelligence (AI), NFT, Metaverse, Solana Ecosystem, Polygon Ecosystem, Ethereum Ecosystem, DePIN, Multicoin Capital Portfolio, Alameda Research Portfolio, GMCI DePIN Index, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",518128769.0562826,532888942.3362826,644245094.0
rocket-pool-eth,Rocket Pool ETH,RETH,66,ethereum,ethereum,https://rocketpool.net/,"Polygon Ecosystem, Arbitrum Ecosystem, Liquid Staking Tokens, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Ronin Ecosystem, Liquid Staked ETH, Liquid Staking",413111.4183606666,413111.4183606666,
fasttoken,Fasttoken,FTN,67,ethereum,ethereum,https://bahamut.io/,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem, Bahamut Ecosystem",431383145.0,870742437.0,1000000000.0
story-2,Story,IP,68,,native,https://www.story.foundation/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), Made in USA, Story Ecosystem",295816364.3,1011055264.3,
worldcoin-wld,Worldcoin,WLD,69,ethereum,ethereum,https://worldcoin.org/,"Smart Contract Platform, Ethereum Ecosystem, Decentralized Identifier (DID), Optimism Ecosystem, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, Blockchain Capital Portfolio, Optimism Superchain Ecosystem, World Chain Ecosystem, Made in USA",1854683759.119906,10000000000.0,10000000000.0
susds,sUSDS,SUSDS,70,ethereum,ethereum,https://sky.money/,"Arbitrum Ecosystem, Ethereum Ecosystem, Yield-Bearing Stablecoin",1810474790.536493,1810474790.536493,
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,RSETH,71,ethereum,ethereum,https://kelpdao.xyz/restake/,"Liquid Staking Tokens, Ethereum Ecosystem, Restaking, Liquid Restaking Tokens, Liquid Staked ETH, Liquid Staking",426154.8699267285,426154.8699267285,
official-trump,Official Trump,TRUMP,72,solana,solana,https://gettrumpmemes.com/,"Solana Ecosystem, Meme, Solana Meme, PolitiFi, Made in USA",199999973.092266,1000000000.0,1000000000.0
binance-staked-sol,Binance Staked SOL,BNSOL,73,solana,solana,https://www.binance.com/en/solana-staking,"Decentralized Finance (DeFi), Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking",9678018.063546652,9678018.063546652,
fetch-ai,Artificial Superintelligence Alliance,FET,75,ethereum,ethereum,https://www.superintelligence.io/,"Artificial Intelligence (AI), NFT, BNB Chain Ecosystem, Cardano Ecosystem, Ethereum Ecosystem, Binance Launchpad, DWF Labs Portfolio, Osmosis Ecosystem, AI Agents, GMCI DePIN Index, GMCI Index, Outlier Ventures Portfolio, AI Agent Launchpad",2604959126.672,2714493896.672,2714493896.672
sei-network,Sei,SEI,74,,native,https://www.sei.io,"Smart Contract Platform, Decentralized Finance (DeFi), Layer 1 (L1), Parallelized EVM, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, GMCI Layer 1 Index, Delphi Ventures Portfolio, Circle Ventures Portfolio, OKX Ventures Portfolio, GMCI Index, Sei Network Ecosystem, World Liberty Financial Portfolio, Made in USA",5781805555.0,10000000000.0,
sky,Sky,SKY,76,ethereum,ethereum,https://sky.money/,"Decentralized Finance (DeFi), Ethereum Ecosystem, Hydration Ecosystem",21236661581.953,23462665147.36596,
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,JLP,77,solana,solana,https://jup.ag/,"Decentralized Finance (DeFi), LP Tokens, Solana Ecosystem",350357655.485418,350357655.485418,
filecoin,Filecoin,FIL,78,,native,https://filecoin.io/,"Infrastructure, Smart Contract Platform, Storage, Layer 1 (L1), DePIN, Alleged SEC Securities, Pantera Capital Portfolio, GMCI DePIN Index, GMCI 30 Index, Sequoia Capital Portfolio, Blockchain Capital Portfolio, GMCI Index, Made in USA",683725608.0,1959161460.0,1959161460.0
spx6900,SPX6900,SPX,79,ethereum,ethereum,https://www.spx6900.com,"Solana Ecosystem, Meme, Ethereum Ecosystem, Base Ecosystem, Bridged-Tokens, Murad Picks, Stock market-themed, 4chan-Themed",930993086.0063922,930993086.0063922,1000000000.0
quant-network,Quant,QNT,80,ethereum,ethereum,https://www.quant.network,"Ethereum Ecosystem, Real World Assets (RWA), Energi Ecosystem, Coinbase 50 Index",14544176.164091088,14612493.0,14612493.0
lombard-staked-btc,Lombard Staked BTC,LBTC,82,ethereum,ethereum,https://www.lombard.finance/,"BNB Chain Ecosystem, Ethereum Ecosystem, Sui Ecosystem, Base Ecosystem, Restaking, Berachain Ecosystem, Liquid Restaking Tokens, Sonic Ecosystem, Etherlink Ecosystem, Swellchain Ecosystem, Corn Ecosystem, Liquid Staked BTC, Katana Ecosystem, TAC Ecosystem",13638.97077102003,13638.97077102003,
flare-networks,Flare,FLR,81,,native,https://flare.network/,"Smart Contract Platform, Layer 1 (L1), DWF Labs Portfolio",71624468604.28503,103767726669.5991,
stakewise-v3-oseth,StakeWise Staked ETH,OSETH,83,ethereum,ethereum,https://stakewise.io,"Decentralized Finance (DeFi), Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staked ETH, Liquid Staking",358880.6839472,358880.6839472,
jupiter-exchange-solana,Jupiter,JUP,84,solana,solana,https://jup.ag/,"Decentralized Exchange (DEX), Decentralized Finance (DeFi), Solana Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Made in USA",3058272222.2,6999203380.17932,10000000000.0
mantle-staked-ether,Mantle Staked Ether,METH,85,ethereum,ethereum,https://www.mantle.xyz/meth,"Liquid Staking Tokens, Ethereum Ecosystem, Mantle Ecosystem, Liquid Staked ETH, Liquid Staking",338911.1594131517,338911.1594131517,
liquid-staked-ethereum,Liquid Staked ETH,LSETH,86,ethereum,ethereum,https://liquidcollective.io/,"Liquid Staking Tokens, Ethereum Ecosystem, Base Ecosystem, Liquid Staked ETH, Liquid Staking",337061.065165362,337061.065165362,
