coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
cardano,Cardano,ADA,11,,native,https://cardano.org/,"Smart Contract Platform, Layer 1 (L1), Cardano Ecosystem, Alleged SEC Securities, Proof of Stake (PoS), GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",36164798602.87086,45000000000.0,45000000000.0
wrapped-bitcoin,Wrapped Bitcoin,WBTC,12,ethereum,ethereum,https://www.wbtc.network/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Ethereum Ecosystem, FTX Holdings, Osmosis Ecosystem, World Liberty Financial Portfolio",128850.89873878,128850.89873878,128850.89873878
hyperliquid,Hyperliquid,HYPE,14,hyperliquid,hyperliquid,https://hyperliquid.xyz/,"Decentralized Exchange (DEX), Smart Contract Platform, Decentralized Finance (DeFi), Perpetuals, Layer 1 (L1), Proof of Stake (PoS), Hyperliquid Ecosystem",333601832.0,999664043.0,1000000000.0
wrapped-steth,Wrapped stETH,WSTETH,13,ethereum,ethereum,https://lido.fi/,"Crypto-Backed Tokens, Decentralized Finance (DeFi), Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking, Unichain Ecosystem",3231812.587262185,3231812.587262185,
stellar,Stellar,XLM,15,,native,https://www.stellar.org/,"Smart Contract Platform, Real World Assets (RWA), Stellar Ecosystem, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",31148448221.5691,50001786892.81784,50001786892.81784
sui,Sui,SUI,16,sui,sui,https://sui.io/,"Smart Contract Platform, Binance Launchpool, Layer 1 (L1), Sui Ecosystem, Coinbase Ventures Portfolio, Proof of Stake (PoS), Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",3455015252.817221,10000000000.0,10000000000.0
chainlink,Chainlink,LINK,17,ethereum,ethereum,https://chain.link/,"Business Services, Infrastructure, Smart Contract Platform, Decentralized Finance (DeFi), Oracle, BNB Chain Ecosystem, Solana Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Real World Assets (RWA), Base Ecosystem, Osmosis Ecosystem, Cross-chain Communication, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, Milkomeda (Cardano) Ecosystem, GMCI DeFi Index, GMCI 30 Index, GMCI Index, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index, Chain Abstraction, Hydration Ecosystem",678099970.4527868,1000000000.0,1000000000.0
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,18,ethereum,ethereum,https://www.binance.com/en/wbeth,"Crypto-Backed Tokens, BNB Chain Ecosystem, Wrapped-Tokens, Liquid Staking Tokens, Ethereum Ecosystem, Liquid Staking",2964096.871065747,2964096.871065747,
bitcoin-cash,Bitcoin Cash,BCH,19,,native,https://bch.info/,"Smart Contract Platform, Layer 1 (L1), Bitcoin Fork, Proof of Work (PoW), Coinbase 50 Index",19901843.64665078,19901921.77165078,21000000.0
wrapped-eeth,Wrapped eETH,WEETH,20,ethereum,ethereum,https://www.ether.fi/,"Crypto-Backed Tokens, Wrapped-Tokens, Arbitrum Ecosystem, Ethereum Ecosystem, Restaking, Liquid Restaking Tokens, Ether.fi Ecosystem",2639570.256617323,2639570.256617323,
hedera-hashgraph,Hedera,HBAR,21,,native,https://www.hedera.com/,"Smart Contract Platform, Layer 1 (L1), Hedera Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Outlier Ventures Portfolio, Made in USA, Directed Acyclic Graph (DAG)",42392669987.51037,50000000000.0,50000000000.0
avalanche-2,Avalanche,AVAX,22,,native,https://www.avax.network,"Smart Contract Platform, Layer 1 (L1), Avalanche Ecosystem, Proof of Stake (PoS), DragonFly Capital Portfolio, DeFiance Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Galaxy Digital Portfolio, GMCI Index, Polychain Capital Portfolio, World Liberty Financial Portfolio, Made in USA, Coinbase 50 Index",422276596.0335201,457279296.0335201,720000000.0
litecoin,Litecoin,LTC,23,,native,http://litecoin.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",76110264.48347135,76111983.23347135,84000000.0
leo-token,LEO Token,LEO,24,ethereum,ethereum,https://www.bitfinex.com/,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem",923042099.9,985239504.0,
weth,WETH,WETH,25,ethereum,ethereum,https://ethereum.org/en/wrapped-eth,"Crypto-Backed Tokens, Wrapped-Tokens, Ethereum Ecosystem, FTX Holdings, Tron Ecosystem, Index Coop Defi Index",2211726.177611833,2211726.177611833,
shiba-inu,Shiba Inu,SHIB,26,ethereum,ethereum,https://shibatoken.com/,"Meme, Ethereum Ecosystem, Animoca Brands Portfolio, Dog-Themed, GMCI Meme Index, GMCI 30 Index, GMCI Index, Coinbase 50 Index",589246852351684.9,589501628851907.6,
the-open-network,Toncoin,TON,27,the-open-network,the-open-network,https://ton.org/,"Smart Contract Platform, BNB Chain Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Animoca Brands Portfolio, Alleged SEC Securities, DWF Labs Portfolio, TON Ecosystem, Proof of Stake (PoS), Pantera Capital Portfolio, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",2470547912.793904,5136112176.797293,
usds,USDS,USDS,28,ethereum,ethereum,https://sky.money/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Fiat-backed Stablecoin",7459557550.701404,7459557550.701404,
ethena-usde,Ethena USDe,USDE,29,ethereum,ethereum,https://app.ethena.fi/,"Stablecoins, USD Stablecoin, Solana Ecosystem, Ethereum Ecosystem, Aptos Ecosystem, ZkSync Ecosystem, TON Ecosystem, Hyperliquid Ecosystem, Fiat-backed Stablecoin, Zircuit Ecosystem, Synthetic Dollar",7000337722.769083,7000337722.769083,
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),BSC-USD,30,binance-smart-chain,binance-smart-chain,https://bscscan.com/token/0x55d398326f99059ff775485246999027b3197955,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Bridged USDT, Bridged-Tokens, Bridged Stablecoin",6784993699.453935,6784993699.453935,
whitebit,WhiteBIT Coin,WBT,31,ethereum,ethereum,https://whitebit.com/wbt,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Tron Ecosystem",144118517.10815412,323306641.0,400000000.0
coinbase-wrapped-btc,Coinbase Wrapped BTC,CBBTC,32,ethereum,ethereum,https://www.coinbase.com/,"Crypto-Backed Tokens, Tokenized BTC, Wrapped-Tokens, Solana Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Base Ecosystem",52687.15465172,52687.15465172,
monero,Monero,XMR,34,,native,https://getmonero.org,"Smart Contract Platform, Privacy, Layer 1 (L1), Proof of Work (PoW), Galaxy Digital Portfolio",18446744.07370955,18446744.07370955,
uniswap,Uniswap,UNI,35,ethereum,ethereum,https://uniswap.org/,"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), BNB Chain Ecosystem, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Gnosis Chain Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Paradigm Portfolio, Coinbase Ventures Portfolio, Index Coop Defi Index, Andreessen Horowitz (a16z) Portfolio, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Made in USA, Unichain Ecosystem, Coinbase 50 Index",600483073.71,1000000000.0,1000000000.0
polkadot,Polkadot,DOT,33,,native,https://polkadot.com/,"Smart Contract Platform, Polkadot Ecosystem, Proof of Stake (PoS), Layer 0 (L0), Pantera Capital Portfolio, GMCI 30 Index, GMCI Index, Made in USA, Coinbase 50 Index",1522267060.0,1522267060.0,
pepe,Pepe,PEPE,37,ethereum,ethereum,https://www.pepe.vip/,"BNB Chain Ecosystem, Meme, Arbitrum Ecosystem, Ethereum Ecosystem, Frog-Themed, GMCI Meme Index, GMCI Index, The Boy’s Club, 4chan-Themed",420690000000000.0,420690000000000.0,420690000000000.0
bitget-token,Bitget Token,BGB,36,ethereum,ethereum,https://partner.bitget.com/bg/2LAE9K,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, DragonFly Capital Portfolio, Morph L2 Ecosystem",1139992036.1,1139992036.1,2000000000.0
aave,Aave,AAVE,38,ethereum,ethereum,https://app.aave.com/,"Decentralized Finance (DeFi), Yield Farming, BNB Chain Ecosystem, Lending/Borrowing Protocols, Avalanche Ecosystem, Polygon Ecosystem, Near Protocol Ecosystem, Fantom Ecosystem, Harmony Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Index Coop Defi Index, Energi Ecosystem, Sora Ecosystem, Huobi ECO Chain Ecosystem, GMCI DeFi Index, Blockchain Capital Portfolio, GMCI Index, World Liberty Financial Portfolio, Coinbase 50 Index, Hydration Ecosystem",15200042.623807378,16000000.0,16000000.0
crypto-com-chain,Cronos,CRO,39,ethereum,ethereum,https://cronos-pos.org/,"Smart Contract Platform, Exchange-based Tokens, Centralized Exchange (CEX) Token, Layer 1 (L1), Ethereum Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index",32335523918.65517,97868637527.1002,100000000000.0
ethena-staked-usde,Ethena Staked USDe,SUSDE,40,ethereum,ethereum,https://app.ethena.fi/,"Liquid Staking Tokens, Ethereum Ecosystem, Yield-Bearing Stablecoin",3422354053.59153,3422354053.59153,
bittensor,Bittensor,TAO,41,,native,https://bittensor.com/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), DePIN, Bittensor Ecosystem, Polychain Capital Portfolio",9466584.0,21000000.0,21000000.0
dai,Dai,DAI,42,ethereum,ethereum,https://makerdao.com/,"Stablecoins, Decentralized Finance (DeFi), USD Stablecoin, Ethereum Ecosystem, Crypto-backed Stablecoin, Fiat-backed Stablecoin",3727221683.385692,3727221683.385692,
pi-network,Pi Network,PI,43,,native,https://minepi.com/,"Layer 1 (L1), Made in USA, Mobile Mining",7717331701.588709,11872444900.73506,100000000000.0
ethereum-classic,Ethereum Classic,ETC,44,,native,http://ethereumclassic.org,"Smart Contract Platform, Layer 1 (L1), Proof of Work (PoW), Coinbase 50 Index",152833593.57698,152842919.1450931,210700000.0
near,NEAR Protocol,NEAR,45,,native,https://near.org/,"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), Near Protocol Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, FTX Holdings, Data Availability, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, DragonFly Capital Portfolio, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA, Coinbase 50 Index, Chain Abstraction",1238670254.0,1262149251.0,
ondo-finance,Ondo,ONDO,47,ethereum,ethereum,https://ondo.finance/,"Decentralized Finance (DeFi), Ethereum Ecosystem, Real World Assets (RWA), Coinbase Ventures Portfolio, Pantera Capital Portfolio, GMCI DeFi Index, RWA Protocol, GMCI Index, World Liberty Financial Portfolio, Binance Alpha Spotlight, Made in USA",3159107529.0,10000000000.0,10000000000.0
ethena,Ethena,ENA,46,ethereum,ethereum,https://www.ethena.fi/,"Decentralized Finance (DeFi), Binance Launchpool, Ethereum Ecosystem, Stablecoin Protocol, DragonFly Capital Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, Delphi Ventures Portfolio, OKX Ventures Portfolio, World Liberty Financial Portfolio",6354687500.0,15000000000.0,
aptos,Aptos,APT,48,aptos,aptos,https://aptosfoundation.org,"Smart Contract Platform, Layer 1 (L1), Aptos Ecosystem, FTX Holdings, Coinbase Ventures Portfolio, Multicoin Capital Portfolio, Proof of Stake (PoS), DragonFly Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Circle Ventures Portfolio, GMCI Index, Made in USA",649335665.9138963,1146093909.923663,
internet-computer,Internet Computer,ICP,49,internet-computer,internet-computer,https://internetcomputer.org/,"Artificial Intelligence (AI), Infrastructure, Smart Contract Platform, Layer 1 (L1), Internet Computer Ecosystem, Alleged SEC Securities, Multicoin Capital Portfolio, Layer 0 (L0), Andreessen Horowitz (a16z) Portfolio, GMCI Layer 1 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Polychain Capital Portfolio, Coinbase 50 Index",536032213.1289621,536032265.0299563,
okb,OKB,OKB,51,ethereum,ethereum,https://www.okx.com/okb,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Ethereum Ecosystem, Sora Ecosystem, OKT Chain Ecosystem, GMCI 30 Index, GMCI Index, Made in China",60000000.0,235957685.3,300000000.0
